Exercise Name | Primary Muscles | Secondary Muscles | Equipment | Category
Cable Chest Press | chest | shoulders,triceps | cable | strength
Bottoms-Up Clean From The Hang Position | forearms | biceps,shoulders | kettlebells | strength
Landmine 180's | abdominals | glutes,lower back,shoulders | barbell | strength
Thigh Abductor | abductors | glutes | machine | strength
Rhomboids-SMR | middle back | traps | foam roll | stretching
Flat Bench Leg Pull-In | abdominals |  | body only | strength
Bench Press - Powerlifting | triceps | chest,forearms,lats,shoulders | barbell | powerlifting
One Arm Dumbbell Preacher Curl | biceps |  | dumbbell | strength
See-Saw Press (Alternating Side Press) | shoulders | abdominals,triceps | dumbbell | strength
Elevated Cable Rows | lats | middle back,traps | cable | strength
Alternate Hammer Curl | biceps | forearms | dumbbell | strength
Two-Arm Kettlebell Row | middle back | biceps,lats | kettlebells | strength
Bradford/Rocky Presses | shoulders | triceps | barbell | strength
Sit Squats | quadriceps | abductors,glutes,hamstrings | None | stretching
Hanging Leg Raise | abdominals |  | body only | strength
Barbell Step Ups | quadriceps | calves,glutes,hamstrings,quadriceps | barbell | strength
Machine Bicep Curl | biceps |  | machine | strength
One-Arm Kettlebell Clean | hamstrings | glutes,lower back,shoulders,traps | kettlebells | strength
Incline Push-Up | chest | shoulders,triceps | body only | strength
Scissor Kick | abdominals |  | body only | stretching
Smith Machine Hang Power Clean | hamstrings | glutes,lower back,quadriceps,shoulders,traps | machine | strength
Standing Low-Pulley Deltoid Raise | shoulders | forearms | cable | strength
Triceps Pushdown - V-Bar Attachment | triceps |  | cable | strength
Ring Dips | triceps | chest,shoulders | other | strength
Seated Hamstring | hamstrings | calves | None | stretching
Wide-Grip Rear Pull-Up | lats | biceps,middle back,shoulders | body only | strength
Seated Close-Grip Concentration Barbell Curl | biceps |  | barbell | strength
Smith Machine Decline Press | chest | shoulders,triceps | machine | strength
Standing Pelvic Tilt | lower back | glutes | None | stretching
Jerk Balance | shoulders | glutes,hamstrings,quadriceps,triceps | barbell | olympic weightlifting
Overhead Lat | lats | triceps | other | stretching
Prowler Sprint | hamstrings | calves,chest,glutes,quadriceps,shoulders | other | cardio
Side-Lying Floor Stretch | lats |  | None | stretching
Incline Dumbbell Press | chest | shoulders,triceps | dumbbell | strength
Box Skip | hamstrings | abductors,adductors,calves,glutes,quadriceps | other | plyometrics
Side Hop-Sprint | quadriceps | abductors,adductors,calves,hamstrings | other | plyometrics
Reverse Flyes With External Rotation | shoulders |  | dumbbell | strength
